Data_No,Differential_pressure,Flow_rate,Time,Dust_feed,Dust,Dust_feed_group,Flow_group,max_time,RUL,pressure_rate,normalized_time,rolling_pressure_mean,pressure_ratio,rate_ratio_interaction,cumulative_pressure,pressure_acceleration,rolling_pressure_std,remaining_pressure_capacity,pressure_growth_rate
1,0.0,47.3991128415003,4.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,40.0,0.0,0.10913140311804011,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,49.5328095630764,5.0,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,39.9,0.0,0.111358574610245,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.0,50.4285464696899,5.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,39.8,0.0,0.11358574610244988,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
1,0.2712674,50.7102639832233,5.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,39.7,2.7126739999999856,0.1158129175946548,0.05425348,0.00045211233333333333,0.00122643337171266,0.2712674,2.7126739999999856,0.12131446929592529,599.7287326,0.05216679766023122
1,0.2712674,50.7309404029865,5.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,39.6,0.0,0.11804008908685969,0.10850696,0.00045211233333333333,0.0,0.5425348,-2.7126739999999856,0.1485792740957769,599.7287326,0.0511825186448078
1,1.537182,51.8270143304334,5.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,39.5,12.659145999999934,0.1202672605790646,0.41594336,0.0025619700000000002,0.032432352277619834,2.0797168,12.659145999999934,0.6412987042106572,598.462818,0.28466328061791096
1,1.537182,54.1435272850569,5.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,39.4,0.0,0.12249443207126949,0.72337976,0.0025619700000000002,0.0,3.6168988,-12.659145999999934,0.7511054554730034,598.462818,0.27948758554771175
1,1.537182,54.5182551332273,5.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,39.3,0.0,0.12472160356347438,1.03081616,0.0025619700000000002,0.0,5.1540808,0.0,0.6933699822951293,598.462818,0.2744967366970113
1,1.537182,54.6587812427201,5.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,39.2,0.0,0.1269487750556793,1.2839990799999998,0.0025619700000000002,0.0,6.6912628000000005,0.0,0.5661342198618908,598.462818,0.26968100531912187
1,3.345631,54.7805620938037,5.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,39.1,18.084490000000063,0.1291759465478842,1.8988717999999998,0.005576051666666667,0.10084005060531702,10.0368938,18.084490000000063,0.8087629795683035,596.654369,0.5768328315805463
1,5.244502,54.5744655770244,5.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,39.0,18.988709999999898,0.1314031180400891,2.6403358,0.008740836666666666,0.16597721262069912,15.2813958,0.9042199999998353,1.6530250932554533,594.755498,0.8888984934070349
1,5.244502,54.5744655770244,6.0,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,38.9,0.0,0.133630289532294,3.3817998000000005,0.008740836666666666,0.0,20.5258978,-18.988709999999898,1.8537702669166425,594.755498,0.8740835209860798
1,6.419994,54.9117155740918,6.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,38.8,11.754920000000045,0.1358574610244989,4.3583622,0.01069999,0.12577752645080048,26.9458918,11.754920000000045,1.9238954865964526,593.580006,1.0524578602528099
1,6.872107,54.7899347230082,6.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,38.7,4.521129999999974,0.1380846325167038,5.4253472,0.011453511666666666,0.05178281520151636,33.8179988,-7.233790000000071,1.3668454211170709,593.127893,1.1084041760638426
1,6.510417,55.0241491274011,6.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,38.6,-3.616900000000007,0.1403118040089087,6.0583044,0.010850695,-0.039245878745500076,40.3284158,-8.138029999999981,0.7619134685259896,593.489583,1.0333993597778794
1,6.510417,54.7993073522128,6.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,38.5,0.0,0.1425389755011136,6.3114874,0.010850695,0.0,46.8388328,3.616900000000007,0.6212229538324422,593.489583,1.0172524973042973
1,6.510417,54.8555177960099,6.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,38.4,0.0,0.1447661469933185,6.5646704,0.010850695,0.0,53.3492498,0.0,0.17626600492665928,593.489583,1.001602461291929
1,6.781684,54.7337242792111,6.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,38.3,2.712670000000009,0.14699331848552338,6.637008400000001,0.011302806666666667,0.03066078456046677,60.1309338,2.712670000000009,0.17626579973098952,593.218316,1.0275277231018602
1,7.052951,54.892995647113,6.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,38.2,2.7126699999999846,0.1492204899777283,6.6731772000000005,0.011754918333333335,0.03188721431528316,67.1838848,-2.4424906541753444e-14,0.2426285808209853,592.947049,1.05267909661506
1,6.510417,55.2558869564017,6.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,38.1,-5.425340000000018,0.1514476614699332,6.6731772000000005,0.010850695,-0.058868709611300196,73.6943018,-8.138010000000003,0.2426285808209853,593.489583,0.9574141239096877
1,7.143374,55.0335090908906,6.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,38.0,6.3295699999999595,0.1536748329621381,6.7997686,0.011905623333333332,0.07535747628196618,80.8376758,11.754909999999978,0.29577937224442374,592.856626,1.0352714441635587
1,7.143374,55.0241491274011,7.0,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,37.9,0.0,0.155902004454343,6.92636,0.011905623333333332,0.0,87.9810498,-6.3295699999999595,0.2757513181736497,592.856626,1.0204818542168779
1,8.409288,55.0616143127891,7.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,37.8,12.659140000000049,0.15812917594654788,7.2518808,0.01401548,0.17742392348720068,96.3903378,12.659140000000049,0.6986559435700131,591.590712,1.1844065937455501
1,8.409288,54.986671276298,7.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,37.7,0.0,0.1603563474387528,7.5231482,0.01401548,0.0,104.7996258,-12.659140000000049,0.8492009273006036,591.590712,1.1679565044504854
1,10.21774,55.1664673152923,7.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,37.6,18.084520000000055,0.16258351893095768,8.264612799999998,0.017029566666666666,0.30797153897466756,115.0173658,18.084520000000055,1.2620341298495867,589.78226,1.3996902192205178
1,10.30816,55.0709869419937,7.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,37.5,0.9042000000000124,0.1648106904231626,8.897569999999998,0.01718026666666667,0.015534397120000216,125.32552580000001,-17.18032000000004,1.3496902613622148,589.69184,1.3929944063521074
1,8.409288,54.8836103521933,7.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,37.4,-18.988720000000075,0.16703786191536749,9.150752800000001,0.01401548,-0.26613602538560105,133.7348138,-19.89292000000009,1.015795656184453,591.590712,1.1212382505015666
1,8.409288,54.9585660543995,7.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,37.3,0.0,0.16926503340757237,9.1507528,0.01401548,0.0,142.1441018,18.988720000000075,1.015795656184453,591.590712,1.1064851175677477
1,9.042245,54.892995647113,7.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,37.2,6.3295699999999595,0.1714922048997773,9.2773442,0.015070408333333332,0.09538920447441605,151.1863468,6.3295699999999595,0.9366483119005785,590.957755,1.1743173799587816
1,9.042245,54.5838255405139,7.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,37.1,0.0,0.17371937639198218,9.0422452,0.015070408333333332,0.0,160.2285918,-6.3295699999999595,0.7752112478097206,590.957755,1.1592620308638422
1,9.042245,55.1962738623288,7.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,37.0,0.0,0.1759465478841871,8.7890622,0.015070408333333332,0.0,169.2708368,0.0,0.3466848268308021,590.957755,1.1445878297990086
1,7.143374,55.1366607682558,8.0,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,36.9,-18.988710000000065,0.17817371937639198,8.535879399999999,0.011905623333333332,-0.22607242884590076,176.4142108,-18.988710000000065,0.8252749593579723,592.856626,0.8929216383847952
1,7.143374,55.0241491274011,8.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,36.8,0.0,0.18040089086859687,8.2826966,0.011905623333333332,0.0,183.5575848,18.988710000000065,1.0400544804923932,592.856626,0.8818979158150722
1,7.324219,54.9679260178889,8.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,36.7,1.8084500000000123,0.18262806236080179,7.9390914,0.012207031666666666,0.022075806417583485,190.8818038,1.8084500000000123,1.0097395901906097,592.675781,0.8931973300978867
1,8.499711,54.986671276298,8.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,36.6,11.754919999999826,0.1848552338530067,7.8305846,0.014166185,0.16652237138019754,199.3815148,9.946469999999813,0.8827193781821604,591.500289,1.0240614428841635
1,8.590133,55.0897195346876,8.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,36.5,0.9042200000000055,0.1870824053452116,7.7401622,0.014316888333333333,0.012945616768766745,207.9716478,-10.85069999999982,0.739034132733191,591.409867,1.0226347592101477
1,9.22309,54.7899347230082,8.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,36.4,6.3295700000000155,0.18930957683741648,8.1561054,0.015371816666666665,0.09729698961883355,217.19473779999998,5.42535000000001,0.8891795057244071,590.77691,1.085069284109496
1,8.590133,55.0709869419937,8.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,36.3,-6.3295700000000155,0.1915367483296214,8.445457199999998,0.014316888333333333,-0.09061974688801688,225.7848708,-12.659140000000031,0.6904153680576658,591.409867,0.9988525582729585
1,8.590133,55.0428817200951,8.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,36.2,0.0,0.19376391982182628,8.69864,0.014316888333333333,0.0,234.3750038,6.3295700000000155,0.29577941810072483,591.409867,0.987371495704426
1,8.590133,54.9117155740918,8.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,36.1,0.0,0.1959910913140312,8.7167244,0.014316888333333333,0.0,242.96513679999998,0.0,0.2830669757668728,591.409867,0.9761513663464356
1,5.425347,54.8086673157022,8.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,36.0,-31.647860000000108,0.19821826280623608,8.0837672,0.009042245,-0.286167703845701,248.3904838,-31.647860000000108,1.5111645652109504,594.574653,0.6095894820685976
1,5.425347,55.005403868992,9.0,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,35.9,0.0,0.200445434298441,7.3242186,0.009042245,0.0,253.8158308,31.647860000000108,1.7334246818765442,594.574653,0.6028162663537483
1,4.340278,55.4247862454673,9.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,35.8,-10.850690000000046,0.2026726057906459,6.4742476,0.007233796666666666,-0.07849168515303366,258.15610879999997,-10.850690000000046,1.9816756320694353,595.659722,0.47695357396114574
1,3.888165,55.1962738623288,9.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,35.7,-4.521130000000014,0.20489977728285078,5.533854,0.006480275,-0.02929816571075009,262.0442738,6.329560000000033,1.8369339139198753,596.111835,0.42262658449711044
1,5.425347,55.2161538486352,9.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,35.599999999999994,15.371819999999786,0.2071269487750557,4.9008968,0.009042245,0.13899576253589807,267.4696208,19.8929499999998,0.7357076821817133,594.574653,0.5833705824332708
1,6.691262,54.7805620938037,9.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,35.5,12.659150000000041,0.2093541202672606,5.1540798,0.011152103333333333,0.14117614891216712,274.1608828,-2.7126699999997452,1.0925788935050365,593.308738,0.7118363072514567
1,8.951823,55.0241491274011,9.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,35.4,22.605610000000073,0.2115812917594655,5.859375,0.014919704999999998,0.3372690325450511,283.1127058,9.946460000000032,2.0394224352599175,591.048177,0.9422970587055728
1,9.22309,55.1764073084455,9.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,35.3,2.712670000000009,0.21380846325167038,6.835937400000001,0.015371816666666665,0.0416986659171668,292.33579579999997,-19.892940000000063,2.2844872388630884,590.77691,0.9607384415897456
1,9.22309,55.4744727788103,9.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,35.2,0.0,0.21603563474387527,7.9029224,0.015371816666666665,0.0,301.5588858,-2.712670000000009,1.7458793085772866,590.77691,0.950833922594441
1,7.324219,55.0709869419937,9.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,35.099999999999994,-18.98870999999972,0.21826280623608021,8.2826968,0.012207031666666666,-0.23179578427914657,308.8831048,-18.98870999999972,1.190352156767361,592.675781,0.7473692094521215
1,8.590133,55.3055734897446,9.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,35.0,12.65914000000004,0.2204899777282851,8.662471,0.014316888333333333,0.1812394937760339,317.4732378,31.64784999999976,0.7919064193410175,591.409867,0.867690114374736
1,7.324219,54.7993073522128,10.0,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,34.9,-12.65914000000004,0.22271714922049,8.3369502,0.012207031666666666,-0.15453052285276714,324.7974568,-25.31828000000008,0.959926818488112,592.675781,0.7324218267578174
1,9.22309,55.1764073084455,10.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,34.8,18.988710000000054,0.22494432071269488,8.3369502,0.015371816666666665,0.2918909688565008,334.0205468,31.647850000000094,0.959926818488112,590.77691,0.9131771373091944
1,9.22309,54.8180399449068,10.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,34.7,0.0,0.22717149220489977,8.3369502,0.015371816666666665,0.0,343.2436368,-18.988710000000054,0.959926818488112,590.77691,0.9042244211544685
1,7.233796,54.7243516500066,10.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,34.599999999999994,-19.892939999999708,0.2293986636971047,8.318865599999999,0.012056326666666667,-0.23983578300039649,350.4774328,-19.892939999999708,0.984317965541272,592.766204,0.7023102230766773
1,7.233796,55.3552465906644,10.4,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,34.5,0.0,0.2316258351893096,8.0475982,0.012056326666666667,0.0,357.7112288,19.892939999999708,1.073707065751272,592.766204,0.6955572408118038
1,7.324219,55.0616143127891,10.5,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,34.4,0.9042300000000069,0.23385300668151449,8.0475982,0.012207031666666666,0.011037964243950083,365.0354478,0.9042300000000069,1.073707065751272,592.675781,0.6975446002338477
1,7.324219,55.4247862454673,10.6,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,34.3,0.0,0.23608017817371937,7.667824,0.012207031666666666,0.0,372.3596668,-0.9042300000000069,0.870594873114644,592.675781,0.6909639914184915
1,8.590133,55.0709869419937,10.7,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,34.2,12.65914000000004,0.23830734966592426,7.541232600000001,0.014316888333333333,0.1812394937760339,380.9497998,12.65914000000004,0.5880936108157463,591.409867,0.8028160931947578
1,8.590133,55.1764073084455,10.8,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,34.099999999999994,0.0,0.2405345211581292,7.8125,0.014316888333333333,0.0,389.5399328,-12.65914000000004,0.7108377372713163,591.409867,0.7953826115386471
1,9.22309,54.9210882032964,10.9,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,34.0,6.3295700000000155,0.2427616926503341,8.2103588,0.015371816666666665,0.09729698961883355,398.7630228,6.3295700000000155,0.8492009273006054,590.77691,0.8461549682426635
1,12.29745,55.0709869419937,11.0,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,33.9,30.743600000000114,0.24498886414253898,9.205005,0.02049575,0.6301131397000024,411.0604728,24.4140300000001,1.861251882189382,587.70255,1.117949898368191
1,11.75492,54.9304608325009,11.1,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,33.8,-5.4253000000000124,0.24721603563474387,10.0911452,0.019591533333333334,-0.10628994579333358,422.8153928,-36.16890000000013,1.795516815220823,588.24508,1.0590017063962427
1,11.75492,55.2161538486352,11.2,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,33.7,0.0,0.24944320712694876,10.7241026,0.019591533333333334,0.0,434.5703128,5.4253000000000124,1.6887462912213405,588.24508,1.0495463348619345
1,11.6645,55.146600761409,11.3,236.428943198285,"ISO 12103-1, A3 Medium Test Dust",High,Low,44.9,33.599999999999994,-0.9041999999999866,0.2516703786191537,11.338975999999999,0.019440833333333334,-0.01757840149999974,446.2348128,-0.9041999999999866,1.2090937381485516,588.3355,1.0322565458180049
